"KEY","en","ro","po","ru","en-us"
"me","Me","Eu","Ja","Я","Me"
"new_update_available","New Update Available","Versiune nouă disponibilă","Nowa wersja jest dostępna","Доступна новая версия","New Update Available"
"there_is_a_newer_version","There is a newer version of the app available. Please update it now.","Există o versiune mai nouă a aplicației Parents! Te invităm să actualizezi aplicația la cea mai nouă versiune.","Nowa wersja aplikacji Parents jest już dostępna! Zaktualizuj aplikację do najnowszej wersji.","Доступна более новая версия приложения Parents. Пожалуйста, обнови приложение сейчас.","There is a newer version of the app available. Please update it now."
"update_now","Update","Actualizează","Aktualizuj","Обновить","Update"
"later","Later","Nu acum","Później","Позже","Later"
"removed_from_life_partner","Life Partner Deactivated","Partener de viață dezactivat","Partner życiowy został dezaktywowany","Спутник по жизни отключен","Partner Deactivated"
"members__zero","%s members","%s membri","%s członków","%s участников","%s members"
"members__one","%s member","%s membru","%s członek","%s участник","%s member"
"members__two","%s members","%s membri","%s członków","%s участника","%s members"
"members__few","%s members","%s membri","%s członków","%s участников","%s members"
"members__many","%s members","%s membri","%s członków","%s участников","%s members"
"members__other","%s members","%s de membri","%s członków","%s участники","%s members"
"this_is_a_gift","You received this programme as gift from us. You will have access to it for the next %s days","Ai primit acest program cadou din\npartea noastra. Accesul este valabil\npentru urmatoarele %s zile","Otrzymałaś(-łeś) ten program jako prezent\nod nas. Dostęp będzie aktywny\nprzez %s dni","Ты получил эту программу от нас \nв подарок. У тебя будет доступ к ней \nв течение следующих %sдней","You received this program as a gift from us. You will have access to it for the next %s days"
"program_value","Programme value: 100 £","Valoare program: 100 lei","Wartość programu: 25 €","Стоимость программы: 100 AZN","Programme value: 100 £"
"program_price","Charged: 0 £","Cost: 0 lei","Koszt: 0 €","Платить: 0 AZN","Charged: 0 £"
"your_profile_completed_percents","Your profile is completed: %s","Profilul tău este completat %s","Twój profil jest ukończony: %s.","Твой профиль заполнен на %s","Your profile is completed: %s"
"add_child_settings","You added your child","ți-ai adăugat copilul/copiii","Dziecko zostało dodane","ты добавил ребенка/детей","You added your child"
"activate_photos","You gave access to photos","ai activat pozele","Dostęp do zdjęć został udzielony","ты дал доступ к фотографиям","You gave access to photos"
"add_childs_photo","You added your child's photo","ai adăugat poza copilului/copiilor","Zdjęcie dziecka zostało dodane","ты добавил фото своего ребенка","You added your child's photo"
"add_profile_picture","You added a profile picture","ți-ai adăugat poza de profil","Zdjęcie profilowe zostało dodane","ты добавил фото профиля","You added a profile picture"
"activate_contacts","You gave access to contacts","ai activat contactele","Dostęp do kontaktów został udzielony","ты дал доступ к контактам","You gave access to contacts"
"activate_notifications","You activated notifications","ai activat notificările","Powiadomienia zostały aktywowane","ты включил уведомления","You activated notifications"
"activate_location","You gave access to location services","ai activat locația","Dostęp do usług lokalizacyjnych został udzielony","ты включил геолокацию","You gave access to location services"
"confirm_email","You confirmed your email","ți-ai confirmat emailul","Adres e-mail został potwierdzony","Ты подтвердил свой адрес эл. почты","You confirmed your email"
"life_partner_settings","Added your Life Partner","ți-ai adăugat partenerul de viață","Partner życiowy został dodany","ты добавил Спутника по жизни","Added your Partner"
"add_other_4family_members","Added 2 other family members","ai adăugat alți 2 membri în familie","Dwóch członków rodziny zostało dodanych","добавлены 2 других члена семьи","Added 2 other family members"
"three_posts_in_family","3 posts in Family","3 postări în Familie","3 posty dodane w Rodzinie","3 публикации в Семье","3 posts in Family"
"three_posts_in_journal","3 posts in Moments","3 postări în Momente","3 posty dodane w sekcji ""Chwile""","3 публикации в Моментах","3 posts in Moments"
"three_posts_in_world","3 posts in Community","3 postări în Comunitate","3 posty dodane w Społeczności","3 публикации в Группе","3 posts in Community"
"saw_3_episode_day","You watched 3 Episode of the Day","ai văzut 3 Episodul zilei","3 Odcinki dnia zostały obejrzane","Ты просмотрел 3 Серии дня","You watched 3 Episode of the Day"
"do_you_have_children","Do you have children?","Ai unul sau mai mulți copii?","Masz jedno dziecko czy więcej?","У тебя есть дети?","Do you have children?"
"do_you_have_life_partner","Do you have a life partner?","Ai un partener de viață?","Czy masz partnera życiowego?","У тебя есть спутник по жизни?","Do you have a partner?"
"invite_life_partner_and_share_courses","Invite your Life Partner to Parents so you can share your Moments and Programs.","Invită-ți partenerul de viață în Parents ca să împărtășiți Momentele și programele de Parenting.","Zaproś do aplikacji Parents partnera życiowego, aby dzielić się z nim Chwilami i Programami.","Пригласи своего спутника жизни в  Parents, чтобы делиться своими Моментами и Программами.","Invite your Partner to Parents so you can share your Moments and Programs."
"contact_permission_denied_go_to_settings","If you want to invite your family members from your list of contacts, please enable Contact Permission for Parents","Dacă vrei să-ți inviți membrii familiei din lista de contacte, te rugăm să acorzi Acces la Contacte pentru Parents","Jeśli chcesz zaprosić członków rodziny z listy kontaktów, udziel do niej dostępu aplikacji Parents","Если хочешь пригласить членов своей семьи из списка контактов, разреши Parents доступ к Контактам.","If you want to invite your family members from your list of contacts, please enable Contact Permission for Parents"
"go_to_settings","Manage Settings","Mergi la Setări","Przejdź do Ustawień","Перейти к настройкам","Manage Settings"
"you_declined_access_to_photos_go_to_settings","You declined access to your photos. To choose a photo you need to enable access from settings.","Ai refuzat accesul la poze. Pentru a adăuga o poză trebuie sa acorzi acces la poze din Setări.","Dostęp do zdjęć nie został udzielony. Aby dodawać zdjęcia, udziel do nich dostępu w Ustawieniach.","Ты отказал доступ к своим фотографиям. Чтобы выбрать фотографию, необходимо разрешить доступ из настроек.","You declined access to your photos. To choose a photo you need to enable access from settings."
"you_declined_access_to_contacts_go_to_settings","You declined access to your contacts. To enable access to your contacts you need to go to settings.","Ai refuzat accesul la contacte. Pentru a acorda acces, trebuie să mergi la Setări.","Dostęp do kontaktów nie został udzielony. Aby udzielić do nich dostępu, przejdź do Ustawień.","Ты отказал доступ к своим контактам. Чтобы разрешить доступ к контактам, нужно зайти в Настройки.","You declined access to your contacts. To enable access to your contacts you need to go to settings."
"you_declined_access_to_location_go_to_settings","You declined access to location services. To enable us to read your location you need to go to settings.","Ai refuzat accesul la serviciile de localizare. Pentru a acorda acces, trebuie să mergi la Setări.","Dostęp do usług lokalizacyjnych nie został udzielony. Aby udzielić do nich dostępu, przejdź do Ustawień.","Ты отказал доступ к службам геолокации. Чтобы разрешить доступ, нужно зайти в Настройки.","You declined access to location services. To enable us to read your location you need to go to settings."
"share_episode_day_url","Please watch this short episode about '%s' \n It goes away at the end of the day, so it would be great if you watched it today. \n %s","Vezi te rog acest scurt video despre '%s' \n Expiră la finalul zilei, deci ar fi bine să îl vezi astăzi. \n %s","Obejrzyj ten krótki odcinek o '%s' \n Będzie dostępny do końca dnia, więc obejrzyj go jak najszybciej. \n %s","Пожалуйста, посмотри это короткое видео о '%s' \n  Оно будет доступно только до полуночи, поэтому было бы здорово, посмотреть его сегодня. \n %s","Please watch this short episode about '%s' \n It goes away at the end of the day, so it would be great if you watched it today. \n %s"
"find_email_and_confirm","Please search the email we sent you to confirm your email address.","Caută, te rog, emailul de la noi pentru a-ți confirma adresa.","Znajdź e-mail od nas, aby potwierdzić adres.","Найди емайл, который мы тебе отправили, чтобы подтвердить свой адрес эл. почты.","Please search the email we sent you to confirm your email address."
"Badges","Badges","Insigne","Odznaki","Значки","Badges"
"Language","Language","Limbă","Język","Язык","Language"
"tour_guide","Tour Guide","Ghid Aplicație","Przewodnik po aplikacji","Гид по приложению","Tour Guide"
"notification_settings","Notifications","Notificări","Powiadomienia","Уведомления","Notifications"
"app_notif","App","App","Aplikacja","Приложение","App"
"email_notif","Email","Email","E-mail","Емайл","Email"
"clap_and_comments","Claps & Comments","Aplauze & Comentarii","Polubienia i komentarze","Аплодисменты и комментарии","Claps & Comments"
"clap_and_comments_description","Includes all notifications about claps or comments in the Community and Family.","Include toate notificările legate de aplauze sau comentarii în Comunitate & Familie.","Dotyczy wszystkich powiadomień o polubieniach i komentarzach w Społeczności i Rodzinie.","Содержит все уведомления об аплодисментах или комментариях в Группе и Семье.","Includes all notifications about claps or comments in the Community and Family."
"invites","Invites","Invitații","Zaproszenia","Приглашения","Invites"
"invites_description","Includes all notifications about the people you invited and the invitations you received from other people in the Family.","Include toate notificările legate de invitarea altor persoane sau invitațiile primite de la alte persoane în Familie.","Dotyczy wszystkich powiadomień o zaproszeniach wysłanych i otrzymanych w Rodzinie.","Содержит все уведомления о людях, которых ты пригласил, и приглашениях, которые ты получил от других членов Семьи.","Includes all notifications about the people you invited and the invitations you received from other people in the Family."
"new_posts","New Posts","Postări noi","Nowe posty","Новые публикации","New Posts"
"new_posts_description","Includes all notifications about \n1.your Family members’ new posts in Community and \n2.your Life Partner’s new posts in Moments.","Include toate notificările legate de \n1.postările persoanelor din Familia ta în Comunitate și \n2.postările noi puse de partenerul de viață în Momente.","Dotyczy wszystkich powiadomień związanych z \n1.postami osób z rodziny w Społeczności i \n2.nowymi postami udostępnionymi przez partnera życiowego w sekcji ""Chwile"".","Содержит все уведомления о \n1. новых публикациях членов твоей Семьи в Группе и о \n2. новых публикациях твоего Спутника по жизни в Моментах.","Includes all notifications about \n1.your Family members’ new posts in Community and \n2.your Partner’s new posts in Moments."
"reminders","Reminders","Remindere","Przypomnienia","Напоминания","Reminders"
"reminders_description","Includes all notifications about Episode of the Day, inviting family members, adding photos and videos to your Moments etc.","Include toate notificările referitoare la Episodul Zilei, invitarea membrilor familiei, încărcarea pozelor și video-urilor în Momente etc.","Dotyczy wszystkich powiadomień związanych z Odcinkiem dnia, zaproszeniami członków rodziny, dodawaniem zdjęć i filmów w sekcji ""Chwile"" itp.","Содержит все уведомления о Серии ​​дня, приглашения членов семьи, добавки фотографий и видео в твои Моменты и т. д.","Includes all notifications about Episode of the Day, inviting family members, adding photos and videos to your Moments etc."
"week_result","Weekly digest","Rezumatul săptămânii","Podsumowanie tygodnia","Итоги недели","Weekly digest"
"week_result_description","Shows you the most appreciated posts in Family and Community.","Îți arată cele mai apreciate postări din Familie și Comunitate.","Pokazuje najpopularniejsze posty z Rodziny i Społeczności","Показывает самые популярные публикации в Семье и Группе.","Shows you the most appreciated posts in Family and Community."
"top_fans","Top Fans","Topul fanilor","Najwięksi fani","Топ фанаты","Top Fans"
"language_apply_after_restart","The application will restart to apply the new language settings.","Aplicația se va reporni pentru a aplica schimbarea limbii.","Aplikacja zostanie uruchomiona ponownie, aby zastosować nowe ustawienia języka.","Приложение перезагрузится, чтобы применить новые языковые настройки.","The application will restart to apply the new language settings."
"save_to_jurnal","Save to my Moments","Salvează în Momente","Zapisz w sekcji ""Chwile""","Сохранить в мои Моменты","Save to my Moments"
"processing_media","Processing media file","Procesăm fișierul media","Plik multimedialny jest przetwarzany","Обработка медиафайла","Processing media file"
"you_declined_access_to_notifications_go_to_settings","You declined access to notification services. To receive push notifications you need to go to settings.","Nu ai acordat acces la serviciile de notificări. Pentru a acorda acces, trebuie să mergi la Setări.","Dostęp do powiadomień nie został udzielony. Aby udzielić dostępu, przejdź do Ustawień.","Ты отказался от доступа к службам уведомлений. Чтобы получать уведомления, нужно зайти в Настройки.","You declined access to notification services. To receive push notifications you need to go to settings."
"media_of_post_was_processed","Your media file was processed. Your post is up-to-date.","Fișierul media a fost procesat. Postarea ta a fost actualizată.","Plik multimedialny został przetworzony. Twój post został zaktualizowany. ","Твой медиафайл обработан. Твоя публикация обновлена.","Your media file was processed. Your post is up-to-date."
"comments__zero","No comments","Niciun comentariu","Brak komentarzy","Нет комментариев","No comments"
"comments__one","1 comment","1 comentariu","1 komentarz","1 комментарий","1 comment"
"comments__two","%s comments","%s comentarii","%s komentarze","%s комментария","%s comments"
"comments__few","%s comments","%s comentarii","%s komentarze","%s комментариев","%s comments"
"comments__many","%s comments","%s comentarii","%s komentarzy","%s комментариев","%s comments"
"comments__other","%s comments","%s de comentarii","%s komentarze","%s комментарии","%s comments"
"wait_uploading_child_avatar","Please wait until we finish uploading your child's photo!","Te rugăm să aștepți până încărcăm poza copilului tău!","Zaczekaj, aż zdjęcie Twojego dziecka zostanie przesłane!","Подожди, пока мы не закончим загрузку фотографии твоего ребенка!","Please wait until we finish uploading your child's photo!"
"mark_notif_as_read","Do you want to mark all notifications as read?","Vrei să marchezi toate notificările ca citite?","Czy chcesz zaznaczyć wszystkie powiadomienia jako odczytane?","Хочешь отметить все уведомления как прочитанные?","Do you want to mark all notifications as read?"
"family_invites","Family Invites","Invitații în familie","Zaproszenia w Rodzinie","Приглашения в семью","Family Invites"
"see_more","see more","vezi mai mult","zobacz więcej","узнать больше","see more"
"wait_uploading_avatar","Please wait until we finish uploading your photo!","Te rugăm să aștepți până încărcăm poza ta!","Zaczekaj, aż zdjęcie zostanie przesłane!","Подожди, пока загрузится твое фото!","Please wait until we finish uploading your photo!"
"checkout","Checkout","Continuă către plată","Zapłać","Продолжить к оплате","Checkout"
"success_payment_checkout","Payment processed successfully. You can start watching %s in the Parenting section.","Plata a fost efectuată cu success. Ai acces la programul %s în secțiunea Parenting.","Płatność przebiegła pomyślnie. Dostęp do programu %s znajdziesz w sekcji Parenting.","Платеж успешно обработан. Можешь начать смотреть программу %s в разделе Parenting.","Payment processed successfully. You can start watching %s in the Parenting section."
"Purchases","Purchases","Achiziții","Zakupy","Покупки","Purchases"
"Billing","Billing","Facturare","Dane do faktury","Выставление счетов","Billing"
"joined_on","Started on %s","Data începerii programului: %s","Data rozpoczęcia programu: %s","Начало программы: %s","Started on %s"
"offer_type","Offer type:","Tipul ofertei:","Rodzaj oferty:","Тип предложения:","Offer type:"
"Instalments","Installments","În rate","Raty","В рассрочку","Installments"
"Integral","Single Payment","Integral","Płatność w całości","Единым платежом","Single Payment"
"Subscriptions","Subscriptions","Abonament","Abonament","Подписка","Subscriptions"
"price","Price:","Preț:","Cena:","Цена:","Price:"
"number_of_payments","Number of payments:","Număr de plăți:","Liczba rat:","Количество платежей:","Number of payments:"
"next_debit","Next payment:","Următoarea plată:","Następna rata:","Следующий платеж:","Next payment:"
"view_invoices","See transactions","Vezi tranzacțiile","Zobacz płatności","Просмотр транзакций","See transactions"
"billing_details","Billing details","Detalii de facturare","Adres do faktury","Платежные реквизиты","Billing details"
"credit_cards","Credit cards","Date de card","Dane karty","Данные карты","Credit cards"
"expiry_month_invalid","Expiry month is invalid","Luna expirării e incorectă","Miesiąc wygaśnięcia jest nieprawidłowy","Неправильный месяц истечения срока действия","Expiry month is invalid"
"expiry_year_invalid","Expiry year is invalid","Anul expirării e incorect","Rok wygaśnięcia jest nieprawidłowy","Неправильный год истечения срока действия ","Expiry year is invalid"
"card_expired","Card has expired","Cardul a expirat","Karta straciła ważność","Срок действия карты истек","Card has expired"
"card_invalid","Card is invalid","Card invalid","Karta jest nieważna","Карта недействительна","Card is invalid"
"no_credit_added","You have not added a credit card yet","Încă nu ai adăugat un card de credit","Karta nie została jeszcze dodana","Ты еще не добавил кредитную карту","You have not added a credit card yet"
"enter_card_details","Enter card details","Introdu datele cardului","Wprowadź dane karty","Введи данные карты","Enter card details"
"from","From","From","Od","От","From"
"number","Number","Număr","Numer","Номер ","Number"
"Zip","Zip","Cod Poștal","Kod pocztowy","Почтовый индекс","Zip"
"Street","Street","Strada","Ulica","Улица","Street"
"City","City","Orașul","Miasto","Город","City"
"Country","Country","Țara","Państwo","Страна","Country"
"Region","Region","Regiunea","Region","Область","Region"
"your_account_is_used_another_device","Your Parents account is being used on another device, so you will be logged out of this device.\nIf you don't recognize this activity, please %{click here%} to log out of all devices and reset your password.","Contul tau Parents este folosit de pe un alt dispozitiv si vei fi delogat de pe acesta.\nDaca nu recunoști acest dispozitiv, %{click aici%} pentru a te deloga de pe toate dispozitivele și a-ți reseta parola.","Konto Parents jest używane na innym urządzeniu, więc zostaniesz wylogowana(-ny).\nJeśli nie znasz tego urządzenia %{kliknij tutaj%}, aby się wylogować ze wszystkich urządzeń i zresetować hasło.","Твой aккаунт в Parents используется на другом устройстве, поэтому ты выйдешь из системы на этом устройстве. \nЕсли ты не используешь другого устройства, пожалуйста,%{щелкни здесь%}, чтобы выйти из всех устройств и восстановить пароль.","Your Parents account is being used on another device, so you will be logged out of this device.\nIf you don't recognize this activity, please %{click here%} to log out of all devices and reset your password."
"set_child_profile","Set up your child's profile","Creează profilul pentru copilul tău","Utwórz profil Twojego dziecka","Создай профиль своего ребенка","Set up your child's profile"
"invited_contact","Invited contact","Invited contact","Kontakt zaproszony","Приглашенный контакт","Invited contact"
"Recent","Recent","Recent","Ostatnio","Последнее","Recent"
"Allow","Allow","Permite","Pozwól","Разрешить","Allow"
"no_permission_access_gallery","No permission to access gallery","Nu ați acordat permisiunea pentru a deschide galeria","Brak pozwolenia na dostęp do galerii","Нет доступа к галерее","No permission to access gallery"
"Loading","Loading","Se încarcă","Ładowanie","Загрузка","Loading"
"click_to_modify","Select folder","Alege folder","Wybierz katalog","Выберите папку","Select folder"
"manage_photos_videos","Manage photos and videos","Administrează pozele și filmările","Zarządzaj zdjęciami i filmami","Управляй фото и видео","Manage photos and videos"
"manage","Manage","Administrează","Zarządzaj","Управлять","Manage"
"suffixAgo","ago","în urmă","","назад","ago"
"suffixFromNow","from now","de acum","od teraz","с настоящего момента","from now"
"lessThanOneMinute","a moment","un moment","chwila","момент","a moment"
"aboutAMinute","a minute","un minut","minuta","минута","a minute"
"minutes","%s minutes","%s minute","%s min.","%s минуты (минут)","%s minutes"
"aboutAnHour","an hour","o oră","godzina","около часу","an hour"
"hours","%s hours","%s ore","%s godz.","%s часа (-ов)","%s hours"
"aDay","a day","o zi","dzień","день","a day"
"days","%s days","%s zile","%s dni","%s дня (дней)","%s days"
"aboutAMonth","a month","o lună","miesiąc","около месяца","a month"
"months","%s months","%s luni","%s miesięcy","%s месяца (-ев)","%s months"
"aboutAYear","about a year","aproximativ un an","prawie rok","около года","about a year"
"years","%s years","%s ani","%s lat","%s года (лет)","%s years"
"hours_minutes","%sh %smin","%sh %smin","%sh %smin","%sч %sмин","%sh %smin"
"minutes_seconds","%smin %ssec","%smin %ssec","%smin %ssek","%sмин %sсек","%smin %ssec"
"seconds","%ssec","%ssec","%ssek","%sсек","%ssec"
"my_programs","My programmes","Programele mele","Moje programy","Мои программы","My programs"
"other_programs","Other programmes","Alte programe","Inne programy","Другие программы","Other programs"
"havent_enrolled_program","You haven't enrolled in a programme","Nu ești înscris în niciun program","Nie jesteś zarejestrowana(-ny) w żadnym programie","Tы не записался на программу","You haven't enrolled in a program"
"check_programs_fot_find","Check the programs below to find\nthe right one for your needs","Găsește programul potrivit pentru tine\nîn secțiunea de mai jos","Znajdź odpowiedni program dla siebie\nw sekcji poniżej","Выбери подходящую для тебя программу\nниже ","Check the programs below to find\nthe right one for your needs"
"there_no_programs_available_lang","There are no programs available in %s","Nu sunt programe disponibile în limba %s","Brak programów w języku: s%","Нет доступных программ на%sязыке","There are no programs available in %s"
"select_another_language","Select another language","Alege altă limbă","Wybierz inny język","Выбери другой язык","Select another language"
"we_are_working_on_creating_parenting","We are working on creating parenting programs\ntailored for your needs. You can check out our\navailable parenting programs in other languages.","Pregătim programe de parenting\npotrivite nevoilor tale. Până atunci, poți vedea\nprogramele de parenting disponibile în celelalte limbi.","Przygotowujemy obecnie programy dla rodziców dostosowane\ndo Twoich potrzeb. Do tego czasu możesz zobaczyć\nprogramy dla rodziców dostępne w innych językach.","Мы работаем над созданием программ о Парентинге\n, отвечающих твоим потребностям. Можешь ознакомиться с нашими\nпрограммами для родителей, доступными на других языках.","We are working on creating parenting programs\ntailored for your needs. You can check out our\navailable parenting programs in other languages."
"you_reached_90_percent","You've reached 90% of the All About Parenting program. Congrats!","Ai ajuns la 90% din programul All About Parenting. Felicitări!","Ukończyłaś(-łeś) już 90% programu All About Parenting. Gratulacje!","Вы прошли 90% программы All About Parenting. Поздравляем!","You've completed 90% of the All About Parenting program. Congrats!"
"we_have_prepared_physical_certificate","We have a Certificate of Completion for you, to celebrate your achievement.","Avem o Diplomă de finalizare pentru tine, pentru a sărbători reușita ta.","Mamy dla Ciebie Dyplom ukończenia programu, aby uczcić Twoje osiągnięcie.","У нас для тебя есть Диплом об окончании, чтобы отметить твое достижение.","To celebrate your achievement, we have a Certificate of Completion for you, to"
"do_you_want_pysical_certificate","Do you want to receive the printed Certificate of Completion for the All About Parenting program?","Vrei să primești Diploma de finalizare a programului All About Parenting imprimată?","Czy chcesz otrzymać drukowaną wersję Dyplomu All About Parenting?","Хочешь ли ты получить печатный экземпляр Диплома об окончании программы All About Parenting?","Do you want to receive the printed Certificate of Completion for the All About Parenting program?"
"no_thanks","No, thanks","Nu, mulțumesc","Nie, dziękuję.","Нет, спасибо","No, thanks"
"the_badge_is_enough","*The Parents badge is enough for me","*Insigna în Parents este suficientă pentru mine","*Wystarczy odznaka w Parents","*Достаточно значка в приложении Parents ","*The Parents badge is enough for me"
"click_here_choose_gift","\nClick here to choose if you want to receive the printed Certificate of Completion","\nClick aici pentru a alege dacă vrei să primești Diploma de finalizare în format fizic","\nKliknij tutaj, aby zdecydować, czy chcesz otrzymać drukowaną wersję Dyplomu All About Parenting","\nНажми здесь, чтобы выбрать, хочешь ли  ты получить печатный экземпляр Диплома об окончании","\nClick here to choose if you want to receive the printed Certificate of Completion"
"tap_to_rate","Tap to rate","Acordă o notă","Kliknij, aby ocenić","Нажми, чтобы оценить","Tap to rate"
"created_by","Created by","Creat de","Stworzone przez","Создан","Created by"
"Description","Description","Descriere","Opis","Обзор","Description"
"this_program_has","This programme has:","Acest program are:","Ten program zawiera:","В этой программе:","This programme has:"
"certificate_completion","Certificate of Completion","Diplomă de finalizare","Dyplom ukończenia programu","Диплом об окончании","Certificate of Completion"
"stars_count__zero","0 star","0 stele","0 gwiazdek","0 звезд","0 star"
"stars_count__one","1 star","1 stea","1 gwiazdka","1 звезда","1 star"
"stars_count__two","%s stars","%s stele","%s gwiazdki","%s звезды ","%s stars"
"stars_count__few","%s stars","%s stele","%s gwiazdki","%s звезд","%s stars"
"stars_count__many","%s stars","%s stele","%s gwiazdek","%s звезд","%s stars"
"stars_count__other","%s stars","%s de stele","%s gwiazdki","%s звезды ","%s stars"
"rating_reviews","Ratings & Reviews","Note & Opinii","Oceny i opinie","Рейтинги и мнения","Ratings & Reviews"
"out_of_5","out of 5","din 5","z 5","из 5","out of 5"
"overview","Overview","Prezentare","Przegląd","Обзор","Overview"
"contents","Contents","Conținut","Zawartość","Содержание","Contents"
"downloaded_episodes","Downloaded Episodes","Episoade Descărcate","Pobrane odcinki","Скачанные серии","Downloaded Episodes"
"program_title","Program: %s","Program: %s","Program: %s","Программа: %s","Program: %s"
"havent_downloaded_episodes","You haven't downloaded any episodes","Nu ai descărcat niciun episod","Nie pobrałaś(-łeś) żadnego odcinka","Ты не скачал ни одной серии","You haven't downloaded any episodes"
"saved_episodes","Saved Episodes","Episoade Salvate","Zapisane odcinki","Сохраненные серии","Saved Episodes"
"havent_saved_episodes","You haven't saved any episodes","Nu ai niciun episod salvat","Nie masz żadnego zapisanego odcinka","Ты не сохранил ни одной серии","You haven't saved any episodes"
"remove_saved_episodes","Remove from Saved Episodes?","Vrei să ștergi episodul din lista de Episoade Salvate?","Czy chcesz usunąć odcinek z listy zapisanych odcinków?","Удалить из сохраненных серий?","Remove from Saved Episodes?"
"add_saved_episodes","Add to Saved Episodes","Adaugă la Episoade Salvate","Dodaj do zapisanych odcinków","Добавить в сохраненные серии","Add to Saved Episodes"
"remove_downloaded_episodes","Remove from Downloads?","Vrei să ștergi episodul din lista de Episoade Descărcate?","Czy chcesz usunąć odcinek z listy pobranych odcinków?","Удалить из загрузок?","Remove from Downloads?"
"remove_downloaded_episodes_description","You won't be able to play this offline anymore.","Nu vei mai putea urmări acest episod fără o conexiune la internet.","Nie będzie można obejrzeć tego odcinka bez dostępu do internetu","Ты больше не сможешь смотреть эту серию без интернетной связи.","You won't be able to play this offline anymore."
"view_pervious_replies__zero","No replies","Nu sunt răspunsuri anterioare","Zobacz %s poprzednich odpowiedzi","нет ответов","No replies"
"view_pervious_replies__one","View 1 previous reply","Vezi %s răspuns anterior","Zobacz %s poprzednią odpowiedź","Просмотреть один предыдущий  ответ","View 1 previous reply"
"view_pervious_replies__two","View 2 previous replies","Vezi %s răspunsuri anterioare","Zobacz %s poprzednie odpowiedzi","Просмотреть два предыдущих ответа","View 2 previous replies"
"view_pervious_replies__few","View %s previous replies","Vezi %s răspunsuri anterioare","Zobacz %s poprzednie odpowiedzi","Просмотреть %s предыдущих ответов","View %s previous replies"
"view_pervious_replies__many","View %s previous replies","Vezi %s răspunsuri anterioare","Zobacz %s poprzednich odpowiedzi","Просмотреть %s предыдущих ответов","View %s previous replies"
"view_pervious_replies__other","View %s previous replies","Vezi %s de răspunsuri anterioare","Zobacz %s poprzednie odpowiedzi","Просмотреть %s предыдущие ответы","View %s previous replies"
"comments","Comments","Comentarii","Komentarze","Комментарии","Comments"
"practice","Parenting Playbook","Agenda de Parenting","Dziennik rodzica","Дневник родителя","Parenting Playbook"
"add_a_comment","Add a comment","Adaugă un comentariu","Dodaj komentarz","Добавить комментарий","Add a comment"
"this_pdf_is_digital","This PDF is a preview of the Parenting Playbook","Acest PDF este o previzualizare a Agendei de Parenting","Ten PDF to podgląd wyglądu Dziennika rodzica","Этот PDF - цифровая версия Дневника родителя.","This PDF is a preview of the Parenting Playbook"
"in_playbook_can_soolve","This is the page in the Parenting Playbook where you can find the exercises for this episode. Write your answers directly on the Playbook.","Aceasta este pagina din Agenda de Parenting la care găsești exercițiile din acest episod. Completează-le direct în Agendă.","Na tej stronie Dziennika rodzica znajdziesz ćwiczenia do odcinka. Zrób je bezpośrednio w Dzienniku.","Ты можешь решать задания каждой серии и следить за своими успехами в программе «All About Parenting» с помощью Дневника родителя.","This is the page in the Parenting Playbook where you can find the exercises for the episode. Write your answers directly on the Playbook."
"if_enrolled_program","If you enrolled in the All About Parenting programme before the 1st of September 2020, you can purchase the Parenting Playbook for a special rate.","Dacă te-ai înscris în programul All About Parenting înainte de 1 august 2020, poți achiziționa Agenda de Parenting la un preț special.","Jeśli zapisałaś(-łeś) się do programu All About Parenting przed 1 stycznia 2021, możesz kupić Dziennik rodzica w specjalnej cenie.","Если ты зарегистрировался на программу All About Parenting до 1 сентября 2020 года, ты сможешь приобрести Дневник родителя по специальной цене.","If you enrolled in the All About Parenting program before the 1st of September 2020, you can purchase the Parenting Playbook for a special rate."
"this_episode_will_be_available","This Episode will be available for you after %s days","Acest episod va fi disponibil pentru tine în %s zile","Ten odcinek będzie dostępny za %s dni","Эта серия будет доступна через %s дня (дней).","This Episode will be available for you after %s days"
"check_out_other_payment_options","Check out other payment options that will allow you to watch all the available episodes","Explorează alte opțiuni de plată care îți vor permite să urmărești toate episoadele disponibile","Sprawdź inne metody płatności, aby móc oglądać wszystkie dostępne odcinki","Ознакомься с другими вариантами оплаты, которые позволят тебе смотреть все доступные серии.","Check out other payment options that will allow you to watch all the available episodes"
"learn_more","Learn More","Află mai multe","Dowiedz się więcej","Узнать больше","Learn More"
"post","Post","Postează","Dodaj post","Отправить","Post"
"add_a_comment_placeholder","Add a comment...","Adaugă un comentariu...","Dodaj komentarz...","Добавить комментарий ...","Add a comment..."
"select_country","Select country","Selectează țara","Wybierz kraj","Выберите страну","Select country"
"select_region","Select region","Selectează regiunea","Wybierz region","Выберите регион","Select region"
"skip","Skip","Mai târziu","Pomiń","Пропускать","Skip"
"parents_is_fun","Parents is more fun with your family and closest friends. Invite someone you love!","Parents este mai distractiv cu familia ta și cu cei mai apropiați prieteni. Invită pe cineva drag!","Parents jest lepsze z rodziną i najbliższymi przyjaciółmi. Zaproś kogoś kogo kochasz!","Parents веселее с семьей и близкими друзьями! Пригласи того, кого любишь! ","Parents is more fun with your family and closest friends. Invite someone you love!"
